Cod_Cliente,Max_Valor,Mediana_Valor,Media_Valor,Std_Valor,Num_Transacciones,Ocurrencias_Madrugada,Ocurrencias_Mañana,Ocurrencias_Tarde,Ocurrencias_Noche,Ocurrencias_PAGO TARJETA DE CREDITO,Ocurrencias_TRANSFER BANCOS,Ocurrencias_TRANSFER EXTERNAS,Ocurrencias_TRANSFER INTERNAS,Ocurrencias_Final_Mes,Ocurrencias_Mitad_Mes,Ocurrencias_Principio_Mes,Hora_Mas_Frecuente,Transaccion_Mas_Frecuente,Dia_Mas_Frecuente
1599159,4000.0,100.0,332.8311538461539,798.9454547305562,26,0,14,12,0,9,17,0,0,4,19,3,Ocurrencias_Mañana,Ocurrencias_TRANSFER BANCOS,Ocurrencias_Mitad_Mes
1599161,450.0,70.0,99.24101265822785,99.20737804363247,237,0,81,137,19,4,119,0,114,58,85,94,Ocurrencias_Tarde,Ocurrencias_TRANSFER BANCOS,Ocurrencias_Principio_Mes
1599162,1100.0,160.0,252.96296296296296,246.80753658257706,27,0,15,12,0,12,15,0,0,8,4,15,Ocurrencias_Mañana,Ocurrencias_TRANSFER BANCOS,Ocurrencias_Principio_Mes
1599163,500.0,200.0,225.625,103.6540284248309,24,0,8,15,1,0,0,0,24,3,2,19,Ocurrencias_Tarde,Ocurrencias_TRANSFER INTERNAS,Ocurrencias_Principio_Mes
1599166,1036.0,100.0,187.46292682926827,244.40365453736473,41,0,17,24,0,11,18,0,12,16,11,14,Ocurrencias_Tarde,Ocurrencias_TRANSFER BANCOS,Ocurrencias_Final_Mes
1599167,1708.0,79.16,283.68857142857144,425.1672032725764,28,3,15,2,8,0,28,0,0,11,12,5,Ocurrencias_Mañana,Ocurrencias_TRANSFER BANCOS,Ocurrencias_Mitad_Mes
1599168,1000.0,90.0,180.2037837837838,263.7790422909901,37,0,20,15,2,11,26,0,0,13,9,15,Ocurrencias_Mañana,Ocurrencias_TRANSFER BANCOS,Ocurrencias_Principio_Mes
1599170,1880.0,10.0,192.34649122807016,462.3942666109293,114,0,23,91,0,0,31,0,83,50,44,20,Ocurrencias_Tarde,Ocurrencias_TRANSFER INTERNAS,Ocurrencias_Final_Mes
1599171,1900.0,200.0,265.46,314.8047501026303,40,0,19,12,9,10,29,0,1,10,15,15,Ocurrencias_Mañana,Ocurrencias_TRANSFER BANCOS,Ocurrencias_Mitad_Mes
1599174,607.78,70.0,121.90177685950412,128.56091504062496,242,0,117,106,19,80,135,0,27,59,79,104,Ocurrencias_Mañana,Ocurrencias_TRANSFER BANCOS,Ocurrencias_Principio_Mes
1599177,281.0,30.0,38.83314285714286,44.58278577075177,70,0,32,33,5,0,0,2,68,20,26,24,Ocurrencias_Tarde,Ocurrencias_TRANSFER INTERNAS,Ocurrencias_Mitad_Mes
1599185,740.0,270.0,295.5952380952381,188.52832607560268,42,0,20,19,3,11,23,0,8,12,17,13,Ocurrencias_Mañana,Ocurrencias_TRANSFER BANCOS,Ocurrencias_Mitad_Mes
1599186,1000.0,88.695,123.4673469387755,137.13762800014902,98,0,51,38,9,29,53,5,11,33,27,38,Ocurrencias_Mañana,Ocurrencias_TRANSFER BANCOS,Ocurrencias_Principio_Mes
1599187,575.0,150.0,174.594,149.21046771690078,55,0,34,15,6,0,55,0,0,19,11,25,Ocurrencias_Mañana,Ocurrencias_TRANSFER BANCOS,Ocurrencias_Principio_Mes
1599189,1000.0,150.0,198.31783783783786,200.69673378196953,37,0,15,7,15,0,23,0,14,8,8,21,Ocurrencias_Mañana,Ocurrencias_TRANSFER BANCOS,Ocurrencias_Principio_Mes
1599193,4000.0,250.0,447.09493670886076,657.5593271759484,79,0,25,29,25,0,69,0,10,24,13,42,Ocurrencias_Tarde,Ocurrencias_TRANSFER BANCOS,Ocurrencias_Principio_Mes
1599196,2000.0,400.0,598.28,577.3435949819368,25,0,4,7,14,0,5,0,20,10,5,10,Ocurrencias_Noche,Ocurrencias_TRANSFER INTERNAS,Ocurrencias_Final_Mes
